,post,number_of_likes,number_of_comments,caption_hashtags,date,caption,caption_length,comments
Our signature look?,<Post CcTVKJ1Pi3l>,346,14,"['blushednude', 'rosyradiance', 'blossomingintospring', 'blossomingcollection']",13/04/22,"Our signature look?  A fresh -faced glow and a natural flush of colour on your cheeks, lids and lips, making your skin look lit-from-within.
Make-up by @kirstenkjaerweis 

https://kjaerweis.com/collections/blossoming-collection

#blushednude #rosyradiance#blossomingintospring #blossomingcollection",298,"[{'text': 'The healthiest glow', 'length': 19}, {'text': 'Love everything about this look!!!!🙌', 'length': 36}, {'text': 'Love all about this 🧚🏻\u200d♀️', 'length': 25}, {'text': 'Kindly create a tutorial❤️🙌', 'length': 27}, {'text': 'This entire edit is what dreams are made of. Romantic vintage florals and pinky dreams.💫🌸', 'length': 89}, {'text': 'Is your makeup good for super oily skin?', 'length': 40}, {'text': 'What color is on the eyes? Maybe the lip gloss? 🌸🍑', 'length': 50}, {'text': 'Love love the rosy eyes 💕👁👁💕', 'length': 28}, {'text': 'Stunning 😍😍', 'length': 11}]"
Meet Lumin-essence in,<Post CcQoBm1rVrK>,198,7,"['kwthebeautifulprimer', 'perfectbase', 'luminenescence']",12/04/22,"Meet Lumin-essence in a bottle.

Our potent complexion-perfecting primer that hydrates, smoothes and luminizes for your most radiant skin with or without makeup.

#kwthebeautifulprimer #perfectbase #luminenescence",213,"[{'text': '😍', 'length': 1}, {'text': 'Is that Japanese mountain potato next to the product?', 'length': 53}, {'text': 'Hi @kjaerweis could you please answer my private message. I want to make an order but need assistance first - Thank you', 'length': 119}, {'text': 'Sounds impressive', 'length': 17}]"
Great skin starts,<Post CcOSmrwvTye>,230,9,"['kwthebeautifuloil', 'perfectbase', 'lumninescence']",11/04/22,"Great skin starts with a great base. Hydration is key. Our Beautiful Oil is packed with nutrient-rich, organic ingredients to provide an instant glow and moisturize skin.

https://kjaerweis.com/products/facial-oil-iconic-edition-30ml

#kwthebeautifuloil #perfectbase #lumninescence",281,"[{'text': 'So beautiful 😍', 'length': 14}, {'text': '❤️❤️', 'length': 4}, {'text': 'Hi\n\nI have repeatedly contacted your customer service. I need to return the metal makeup case I ordered. I understand you can’t take back or refund for the makeup refill . That’s fine but I can not use the case. I wish I could but due to my multiple neck and back fusions it is much too heavy for me to carry. It’s a beautiful case but I had no idea it weighed so much. Please respond as to how to return the case which is pristine and in its red box. I’ll be back in touch, thanks.', 'length': 482}, {'text': '👏👏👏👏', 'length': 4}, {'text': 'So simple and perfect ❤️', 'length': 24}]"
Our iconic shade,<Post CcLytSzFsNs>,343,7,"['luminescence', 'blushednude', 'blossomingintospring', 'blossomingcollection']",10/04/22,"Our iconic shade Blossoming has been re-imagined as a complexion-illuminating edit of universally flattering blushed-nude tones across lips, lids & cheeks for a fresh-faced rosy radiance.

https://kjaerweis.com/collections/blossoming-collection

#luminescence
#blushednude #blossomingintospring #blossomingcollection",316,"[{'text': 'So beautiful. Are these products limited edition?', 'length': 49}, {'text': '😍😍😍', 'length': 3}, {'text': '😍😍😍', 'length': 3}, {'text': '😍😍', 'length': 2}, {'text': 'Beautiful 😍', 'length': 11}, {'text': 'Hi @kjaerweis just sent you a message about your lipstick refills', 'length': 65}, {'text': 'Hi\n\nI have repeatedly contacted your customer service. I need to return the metal makeup case I ordered. I understand you can’t take back or refund for the makeup refill . That’s fine but I can not use the case. I wish I could but due to my multiple neck and back fusions it is much too heavy for me to carry. It’s a beautiful case but I had no idea it weighed so much. Please respond as to how to return the case which is pristine and in its red box. I’ll be back in touch, thanks.', 'length': 482}]"
"Our cream blush,",<Post CcLcnK3LDXN>,130,13,[],10/04/22,"Our cream blush, a first love.",30,"[{'text': 'Brilliant ❤️', 'length': 12}, {'text': 'You were my introduction to cream blush, hell, cream anything! Thank you 😍❤️', 'length': 76}, {'text': 'I agree! Blush is the best. ❤️', 'length': 30}, {'text': '❤️❤️❤️❤️❤️ often the only product I use', 'length': 39}, {'text': 'I panned my Inner Glow in 3 mos ❤️', 'length': 34}, {'text': 'I agree too. Best cream blushes ever 🙌❤️💫', 'length': 41}, {'text': ""I just used Ingenious lipstick on my eyelids! it's awesome!"", 'length': 59}]"
Our favorite look,<Post CcJFTjnv0Q8>,160,0,"['kwcreamblush', 'flushofcolor', 'luminescence']",09/04/22,"Our favorite look this Spring?
A luminous base topped up with a pop of color to you cheeks. The results? Glowing skin that lets the real you shine through.
 

https://kjaerweis.com/products/cream-blush-iconic-edition-blushing

#kwcreamblush #flushofcolor #luminescence",268,None
"Effortlessly blend able,",<Post CcGirNwPLzr>,281,17,[],08/04/22,"Effortlessly blend able, unparalleled creaminess, our cream blush texture feels like a dream.",93,"[{'text': 'This color', 'length': 10}, {'text': 'Yummy 😋', 'length': 7}, {'text': 'Need to add Happy to my collection 😍😍', 'length': 37}, {'text': '🤍 definition of blush 🌟', 'length': 23}, {'text': 'My favorite ☺️💓', 'length': 15}, {'text': 'Universally flattering ✨', 'length': 24}, {'text': '😍😍😍', 'length': 3}, {'text': 'Still waiting to hear back from someone about your horrible mascara that blobs out and is totally unusable.  I reached out about this while out of town and was told to get in touch when I got back.  This is now the third time I’m reaching out and wonder if someone will actually rectify this situation as you originally said you would.  Your customer service is unimpressive 😢', 'length': 376}, {'text': '@kjaerweis i tried other cream blushes…. But this brand always makes say oooh wow!!🙌', 'length': 84}]"
Our cream blush,<Post Cbp6_w6rSi8>,734,25,"['blossomingintospring', 'creamblush', 'certifiedorganic']",28/03/22,"Our cream blush is effortless to apply and goes on the skin like silk due to it’s thoughtfully crafted, slow-skincare ingredients. 

#blossomingintospring #creamblush 
#certifiedorganic",185,"[{'text': 'Beautiful', 'length': 9}, {'text': ""It's a beautiful product! ❤️"", 'length': 28}, {'text': '🥰🥰🥰', 'length': 3}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'SO pretty!', 'length': 10}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'LOVE', 'length': 4}, {'text': 'we loooove it 😍👏❤️', 'length': 18}, {'text': 'She’s so beautiful 😍', 'length': 20}, {'text': 'Sent you a dm! ❤️❤️❤️', 'length': 21}, {'text': '❤️❤️', 'length': 4}, {'text': 'Beautiful!', 'length': 10}, {'text': 'Favorite Blush 🌸', 'length': 16}, {'text': 'I’ve tried LOTS of cream blush and this is truly THE best!', 'length': 58}, {'text': 'MEN DET ÄR JU SÅ SVÅRT OCH FÅ TAG PÅ DINA PRODUKTER I SVERIGE 😠', 'length': 63}, {'text': 'love this colour! can you tell us which colour this is please. So beautiful 😍', 'length': 77}, {'text': 'This blush is amazing. Do💞love.', 'length': 31}, {'text': '@kjaerweis will the be available at BlueMercury or is it only available at kjaerweis.com???', 'length': 91}]"
Our certified organic,<Post CcB3P09rlRc>,210,1,"['kwcreamblush', 'flushofcolor', 'hybridbeauty', 'luminescence']",07/04/22,"Our certified organic formula is rooted in skincare ingredients, like Sweet Almond and Jojoba Seed Oil. Super gentle to your skin, you can wear it on your cheeks, lips and eyes 

https://kjaerweis.com/products/cream-blush-iconic-edition-blushing

#kwcreamblush #flushofcolor #hybridbeauty #luminescence",302,"[{'text': 'Sent you a dm ❤️❤️❤️', 'length': 20}]"
"Our first love,",<Post Cb8MOVBvhwa>,509,33,"['kwcreamblush', 'luminescence']",04/04/22,"Our first love, our pride and joy.
It first launched over 10 years ago, the award-winning cream blush has been a staple in our make-up bag.

#kwcreamblush #luminescence",168,"[{'text': 'On love with this one!', 'length': 22}, {'text': 'Wow! 10 yrs already! Thank you ❤️', 'length': 33}, {'text': 'Would love to try this fab shade!!😍', 'length': 35}, {'text': 'The one product that made me fall in love with your brand 😍❤️', 'length': 61}, {'text': 'I remember! Wow, time does fly 😮😍', 'length': 33}, {'text': ""I've used it from day 1 and used it today 3,650 days later 😍"", 'length': 60}, {'text': 'Yesss, need a refill🙌🏻', 'length': 22}, {'text': 'My favourite blush 💓', 'length': 20}, {'text': 'Pretty shade', 'length': 12}, {'text': 'Cannot live without this product- every shade is beautiful but Blossoming and Abundance are my favorite ❤️', 'length': 106}, {'text': '😍😍😍', 'length': 3}, {'text': '🌸🌸🌸', 'length': 3}, {'text': '💗', 'length': 1}, {'text': 'Love it 👏', 'length': 9}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'Such a beautiful shade 😍', 'length': 24}, {'text': 'I always reach for this (and Blossoming). 🙂', 'length': 43}]"
Petal soft inspiration,<Post Cb5dPLELn7F>,188,0,[],03/04/22,"Petal soft inspiration for our iconic Blossoming color. 
Forever humbled by Nature’s magical beauty.",100,None
"Kjaer Weis, created",<Post Cb20NwFLXjj>,338,32,"['certifiedorganic', 'enlightenedbeauty']",02/04/22,"Kjaer Weis, created from Mother Nature’s most exquisite ingredients.

#certifiedorganic 
#enlightenedbeauty",107,"[{'text': '🙌', 'length': 1}, {'text': '🙌🙌🙌', 'length': 3}, {'text': '💚💚💚💚💚', 'length': 5}, {'text': '❤️❤️❤️🙌', 'length': 7}, {'text': 'love your brand, thank you!', 'length': 27}, {'text': '❤️ I am 55 and just now starting my journey to all things clean. What product would you suggest I start with?', 'length': 109}, {'text': 'Absolutely!!👏👏 Mother Nature knows best!', 'length': 40}, {'text': 'I am new to your brand--loving the purity and color of your lipsticks and blush. 😍', 'length': 82}, {'text': 'I love the liquid foundation, mascara and cream eye shadows ❤️', 'length': 62}, {'text': ""I couldn't agree more! That's why I use cruelty free, clean beauty brands. 🐇🍌🍍🍎🚫🛢"", 'length': 81}, {'text': '♥️', 'length': 2}, {'text': 'That’s truly the MAGIC of Kjaer Weis!!🙏🏽💙🦋', 'length': 42}, {'text': 'YESSS!! 🙌', 'length': 9}, {'text': 'Yes to this 🙌', 'length': 13}, {'text': ""𝓛𝓸𝓿𝓮 𝓽𝓱𝓮 𝔀𝓸𝓻𝓭, 𝓬𝓱𝓮𝓬𝓴 𝔂𝓸𝓾𝓻 𝓓𝓜'𝓼💗"", 'length': 31}, {'text': 'Totally 💯 @kjaerweis', 'length': 20}, {'text': 'Agreed 🙌 I sent a dm @kjaerweis', 'length': 31}]"
"Our moisture-rich, hydrating",<Post Cb0U1GNLTAJ>,531,16,"['blossomingintospring', 'rosylips', 'blushednude']",01/04/22,"Our moisture-rich, hydrating Blossoming Lipstick is infused with skincare ingredients for a buttery soft silicone-free glide. 
Enriched with the Root of Light for the most illuminating lips.

#blossomingintospring #rosylips #blushednude",236,"[{'text': 'SUPER pretty shade', 'length': 18}, {'text': 'Wow what a pretty shot 😍', 'length': 24}, {'text': 'Stunning color!', 'length': 15}, {'text': 'Beautiful shade and picture!!💕love', 'length': 34}, {'text': 'Top æstetisk 🤍', 'length': 14}, {'text': 'W e i s w a a a a u u u u Beauty', 'length': 32}, {'text': 'Beautiful i want 😍', 'length': 18}, {'text': 'Wunderschöne Farbe 😍', 'length': 20}, {'text': '❤️', 'length': 2}, {'text': 'Pretty', 'length': 6}]"
Petal soft lips,<Post CbyY_dVLsjz>,424,19,['blossomingintospring'],31/03/22,"Petal soft lips in our moisturizing Blossoming Lipstick for the most beautiful rosy hue.

#blossomingintospring",111,"[{'text': 'Beautiful', 'length': 9}, {'text': 'Sensational photo ❤️', 'length': 20}, {'text': '❤️', 'length': 2}, {'text': 'So stunning 😍😍', 'length': 14}, {'text': 'in love with this 🥰', 'length': 19}, {'text': 'I just went to your site and the link to this collection brings me to a page with another page for this collection, but no product.', 'length': 131}, {'text': 'Beautiful ❤️❤️', 'length': 14}, {'text': 'Sooo pretty!!💖💖💖', 'length': 16}, {'text': '🌸🤍🌸', 'length': 3}, {'text': '✨✨✨', 'length': 3}, {'text': 'So beautiful🌸💕 Will this be part of the regular line or is it limited edition?', 'length': 78}]"
What makes something,<Post CbvVwnOuZom>,141,1,['blossomingintospring'],30/03/22,"What makes something “universal” is rarely just about the color. Blossoming has just the right amount of…. everything.

#blossomingintospring",141,"[{'text': 'Beauty ✨', 'length': 8}]"
"Silkiest, smoothest shadows",<Post Cbs3t9yvbpz>,546,23,"['blossomingintospring', 'eyeshadow']",29/03/22,"Silkiest, smoothest shadows now in Primrose and Amethyst the Blossoming Collection.
Buildable color, that can be used alone for delicate rosy-nude hues, or together for a more dramatic floral look.
Formulated with silky smooth wild bamboo to replace synthetic silicones, these Eye Shadows blend like a dream.

#blossomingintospring #eyeshadow",342,"[{'text': '✨♥️✨', 'length': 4}, {'text': 'Beautiful! 😍 Need!!!', 'length': 20}, {'text': 'Pretty', 'length': 6}, {'text': ""I can't wait, my package arrives tomorrow with both new colors! 💕"", 'length': 65}, {'text': 'Cannot wait to try these beauties!', 'length': 34}, {'text': 'What beautiful colours there are', 'length': 32}, {'text': '🤩💫', 'length': 2}, {'text': 'Need! 🧡💜✨', 'length': 9}, {'text': 'Very disappointed to see talc in your powder products! I wanted to buy the highlighter but no way I’m putting talc on my skin 😞', 'length': 127}, {'text': 'Primrose!!', 'length': 10}, {'text': 'Sent you a dm!! ❤️❤️❤️', 'length': 22}, {'text': 'Beautiful 💕', 'length': 11}, {'text': '@kjaerweis will this be available at BlueMercury???🤞', 'length': 52}]"
Blossoming kisses and,<Post CbnGyw3L5oN>,251,6,"['mothersday', 'blossomingintospring', 'blushednude', 'rosylips']",27/03/22,"Blossoming kisses and Mother’s Day wishes to our family in the UK.

#mothersday #blossomingintospring #blushednude #rosylips",124,"[{'text': 'The color is soo pretty 😍', 'length': 25}, {'text': 'Question? Are all the lip colors the same as the cheek or similar? I’ve been using the cheek on my lips, but obviously it won’t have the same staying power as something specific for lips. Thank you!', 'length': 198}, {'text': 'How gorgeous is this shade!!💖', 'length': 29}, {'text': 'Such a pretty pink', 'length': 18}, {'text': '😍😍😍', 'length': 3}, {'text': 'Beautiful 😍', 'length': 11}]"
The wondrous beauty,<Post CblNF_8vqxq>,566,8,['bloosomingintospring'],26/03/22,"The wondrous beauty of flowers, from the different textures to the finest nuances in the endless variety of colors, are a constant source of inspiration in my life and work. 
Our beloved color Blossoming is no exception. XKirsten

#bloosomingintospring",252,"[{'text': '😍😍😍', 'length': 3}, {'text': 'Beautiful display 🌺💐🌸🌷', 'length': 22}, {'text': '👏👏👏👏', 'length': 4}, {'text': '🔥🔥🔥🔥', 'length': 4}, {'text': '😮😮😮', 'length': 3}, {'text': 'Beauty 💕', 'length': 8}, {'text': 'What an amazing color for spring 😍❤️', 'length': 36}, {'text': 'Beautiful 😍', 'length': 11}]"
Petal soft rosy,<Post CbieKnHOwWJ>,319,4,['blossomingintospring'],25/03/22,"Petal soft rosy glow, the blossoming collection in our beautiful iconic earth-minded refillable compacts for that glow giving feeling of radiance done right.

Shop the collection:

https://kjaerweis.com/collections/blossoming-collection

#blossomingintospring",259,"[{'text': '💕💕', 'length': 2}, {'text': 'Are the lip colors the same as the blossoming blush or similar?', 'length': 63}, {'text': '💕💕💕', 'length': 3}]"
Blossom your way,<Post Cbf17hQO5xw>,524,18,"['blossomingintospring', 'rosyglow', 'rosylips', 'nudelips']",24/03/22,"Blossom your way this spring with the gorgeously flattering collection of blossoming tones, now for cheeks, lips and eyes.

#blossomingintospring #rosyglow #rosylips #nudelips",175,"[{'text': 'GORGEOUS', 'length': 8}, {'text': 'The perfect shade for Spring 🌸♥️', 'length': 32}, {'text': 'So pretty', 'length': 9}, {'text': 'So excited for this collection!! :) Just made my purchase, cannot wait to try it out.', 'length': 85}, {'text': '❤️❤️❤️', 'length': 6}, {'text': 'Gorgeous!', 'length': 9}, {'text': 'Stunning ❤️', 'length': 11}, {'text': '❤️', 'length': 2}, {'text': 'What is used on the eyes? 🌸', 'length': 27}, {'text': 'Website up💕🙏', 'length': 12}, {'text': 'Sooo absolutely gorgeous', 'length': 24}, {'text': '@kjaerweis ooh will this be available at BlueMercury?? I hope so 🤞', 'length': 66}]"
